Date,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other,Mkt-RF,RF
196307,-0.49,-0.22,-1.41,2.29,-0.69,-0.23,-1.03,0.56,0.8,-1.61,-0.39,0.27
196308,4.89,6.55,6.2,3.93,5.14,4.29,6.43,9.56,4.2,5.49,5.07,0.25
196309,-1.69,-0.24,-0.76,-3.64,0.13,2.36,0.97,-4.06,-2.5,-3.16,-1.57,0.27
196310,2.65,9.72,2.58,-0.32,8.29,3.4,0.52,3.38,-0.67,1.38,2.53,0.29
196311,-1.13,-4.84,0.3,-1.15,-0.29,4.16,-1.23,-1.65,-1.02,0.23,-0.85,0.27
196312,2.81,0.27,1.91,4.65,3.05,-0.14,0.34,1.54,2.42,2.8,1.83,0.29
196401,0.79,1.19,2.69,4.84,2.91,3.35,2.51,3.68,1.4,1.24,2.24,0.3
196402,1.87,2.14,2.76,1.06,1.96,-0.28,1.62,1.66,0.87,5.45,1.54,0.26
196403,3.08,0.93,3.7,1.4,3.38,-0.94,2.43,-1.94,-0.75,2.18,1.41,0.31
196404,-0.48,1.93,-1.72,4.02,-3.63,0.81,2.86,-1.42,1.06,0.26,0.1,0.29
196405,1.56,1.12,1.77,2.14,2.74,-0.4,3.89,0.53,0.84,2.42,1.42,0.26
196406,1.61,0.67,0.92,0.65,0.52,4.76,3.82,0.59,2.2,1.36,1.27,0.3
196407,1.8,5.28,1.34,3.34,-1.8,-1.99,1.23,4.76,4.91,1.34,1.74,0.3
196408,-0.26,1.33,-1.25,-1.86,-2.75,-1.53,0.34,-4.22,-0.01,-3.13,-1.44,0.28
196409,1.7,5.04,4.77,3.08,1.15,-1.02,3.48,2.73,1.87,4.05,2.69,0.28
196410,-0.19,0.25,0.3,3.06,-0.99,-0.89,2.32,2.88,0.95,1.84,0.59,0.29
196411,0.7,-1.38,-0.52,2.55,-0.23,-2.23,3.27,2.17,1.37,-1.8,0,0.29
196412,0.21,1.67,-0.82,-0.24,-0.01,3.1,0.18,4.38,0.5,-1.78,0.03,0.31
196501,6.1,3.76,5.52,0.51,7.46,0.27,3.06,7.66,3.96,4.72,3.54,0.28
196502,1.62,-0.69,2.51,-3.36,2.2,0.79,1.37,2.42,0.43,2.58,0.44,0.3
196503,-0.77,1.39,-1.16,-3.03,-0.48,-1.68,-0.85,-0.92,-0.52,-0.27,-1.34,0.36
196504,4.21,7.04,4.02,0.86,5.14,2.3,6.82,2.98,0.65,2.16,3.11,0.31
196505,-0.77,-3.53,-0.52,0.86,0.48,2.79,0.18,-1.24,-0.97,-1.68,-0.77,0.31
196506,-5.13,-6.83,-6.21,-1.98,-5.71,-4.14,-6.19,-5.31,-3.66,-6.97,-5.51,0.35
196507,1.61,2.3,2.06,1.81,3.6,-0.38,-1.41,3.95,1.06,3.4,1.43,0.31
196508,4.11,3.21,3.64,1.56,5.88,1.33,2.28,6.29,0.92,5.07,2.73,0.33
196509,0.48,6.97,3.9,4.37,5.29,1.09,-0.68,2.24,1.39,1.8,2.86,0.31
196510,2.66,6.34,4.45,1.84,5.22,-2.29,0.26,3.23,1.05,4.26,2.6,0.31
196511,1.12,-4.03,1.39,0.71,2.73,-4.32,1.36,3.8,-1,3.88,-0.03,0.35
196512,1.24,1.23,3.25,0.17,-1.54,-0.86,1.33,3.83,-0.31,3.47,1.01,0.33
196601,1.92,0.49,2.89,1.04,1.35,-1.3,-4.37,2.74,-3.02,5.25,0.72,0.38
196602,-0.47,-1.5,-0.73,-3.47,5.03,0.48,-1.87,-1.55,-4.17,2.09,-1.21,0.35
196603,-2.68,-3.06,-1.79,-2.23,-0.9,-4.84,-2.14,-1.6,-0.14,-2.84,-2.51,0.38
196604,0.43,0.11,2.79,3.13,7.65,1.26,3.07,-0.02,1.19,3.04,2.14,0.34
196605,-4.91,-8.11,-5.61,-3.74,-6.05,-2.98,-2.86,-5.26,-2.73,-7.87,-5.66,0.41
196606,-1.82,-2.11,-0.98,-2.28,-0.13,0.49,-2.37,0.99,-1.78,0.74,-1.44,0.38
196607,-1.21,-2.44,-1.51,0.4,-1.76,-1.17,-1.97,-1.72,-0.18,-2.05,-1.63,0.35
196608,-7.11,-7.47,-7.92,-6.36,-5.98,-4.6,-6.41,-8.07,-8.59,-11.75,-7.91,0.41
196609,-1.48,-1.04,-3.6,3.94,-1.9,-0.57,-1.96,-1.13,4.36,-1.86,-1.06,0.4
196610,4.5,0.57,2.5,8.47,0.3,9.19,-1.43,4.87,9.94,3.12,3.86,0.45
196611,2.33,-3.51,2.69,-1.14,10.88,-2.84,0.73,6.89,-1.36,7.95,1.4,0.4
196612,0.22,-2.61,1.37,-0.66,0.41,2.98,-4.09,-0.17,2.1,2.09,0.13,0.4
196701,9.42,12.19,11.19,3.59,10.2,6.23,11.81,6.41,2.84,11.97,8.15,0.43
196702,2,-1.01,1.19,-0.07,6.17,2.15,3.2,1.42,-1.72,-0.24,0.78,0.36
196703,4.45,4.27,5.76,3.61,5.44,2.94,2.39,7.83,1.53,4.18,3.99,0.39
196704,4.59,10.83,3.71,1.67,7.73,0.19,9.18,4.46,1.88,2.22,3.89,0.32
196705,-2.63,-7.28,-3.64,-2.42,-4.44,-5.67,-4.66,-5.29,-4.11,-1.89,-4.33,0.33
196706,2.65,1.52,2.09,2.28,6.32,2.72,3.83,5.38,-1.31,3.78,2.41,0.27
196707,6.03,10.71,5.08,6.92,3.92,-6.62,5.99,3.79,2.33,7.85,4.58,0.31
196708,-0.84,0.08,-0.48,-1.46,-1.01,-1.25,0.49,0.66,-0.65,-0.31,-0.89,0.31
196709,3.13,4.98,3.08,4.21,8.36,1.2,2.27,2.89,-0.09,1.35,3.11,0.32
196710,-2.66,-4.88,-4.44,-0.99,4.8,-3.49,0.67,-5.01,-5.36,-5.23,-3.09,0.39
196711,0.56,-0.69,0.67,0.78,1.37,0.09,0.81,1.33,3.17,-0.4,0.37,0.36
196712,3.2,0.88,5.21,3.09,2.19,0.13,3.44,1.62,3.28,5.49,3.05,0.33
196801,-0.58,-5.16,-6.47,-0.89,-8.69,2.69,1.12,-6.57,0.2,-1.84,-4.06,0.4
196802,-2.67,-2.31,-4.28,-2.65,-4.55,-2.4,-0.78,-4.24,-1.48,-3.56,-3.75,0.39
196803,0.74,0.52,0.79,0.76,4.16,-1.12,2.89,0.1,-3.93,-0.09,0.2,0.38
196804,11.09,12.01,10.64,5.68,12.38,2.22,12.34,11.9,2.49,12.1,9.05,0.43
196805,5.02,-0.37,3.17,1.26,3.81,-0.74,3.5,3.34,0.45,6.25,2.28,0.45
196806,1.19,-1.65,-0.28,1.81,-2,4.15,0.41,2.25,8.44,2.99,0.69,0.43
